TOTAL,UK,JAPAN,SOUTH KOREA,CHINA,TAIWAN,AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA,ITALY,NETHERLANDS,SPAIN,SWEDEN,SWITZERLAND,FRANCE,GERMANY
"1,639,161","356,916","336,306","50,135","29,759","19,570","39,207","14,722","32,084","20,401","22,007","33,121","31,043","27,334","23,960","18,710","48,289","113,679"
"1,895,999","422,266","263,210","53,992","35,395","18,682","50,814","17,529","43,421","32,317","30,316","41,673","39,031","40,294","30,747","28,482","78,379","137,560"
"1,752,524","321,720","285,353","61,946","39,566","25,779","56,866","19,699","39,812","25,156","23,382","35,128","40,870","27,150","22,744","22,866","60,489","129,130"
"1,807,400","323,615","288,181","67,493","39,310","31,928","56,874","15,096","39,619","46,222","21,626","42,110","32,785","35,358","27,257","20,002","57,261","99,359"
"2,188,146","374,994","319,097","82,749","49,220","39,537","53,685","22,598","62,276","38,351","33,213","59,542","58,008","46,486","22,366","33,806","92,729","129,927"
"2,072,655","350,471","369,494","84,370","46,504","32,830","49,271","15,653","34,220","25,510","45,700","83,455","35,692","54,737","16,308","20,108","82,903","131,320"
"1,915,993","396,909","327,205","66,193","44,223","25,749","67,106","18,644","39,864","22,278","34,072","37,600","41,360","36,012","22,217","26,055","64,983","145,528"
"1,900,634","398,783","306,553","54,800","39,636","21,110","48,467","18,721","44,948","25,072","29,960","43,277","45,348","36,901","32,207","27,877","78,446","134,776"
"1,687,972","345,040","294,841","49,891","35,356","15,923","40,695","15,412","35,127","26,976","31,314","39,948","33,144","31,775","23,492","20,256","57,205","100,457"
"1,927,076","356,760","287,105","62,815","32,241","18,480","61,380","17,078","59,366","49,106","57,979","60,755","36,943","44,991","26,028","22,173","70,395","102,022"
"1,530,596","235,176","280,235","83,332","44,226","27,899","50,959","21,981","61,240","20,508","24,629","35,068","27,420","24,396","21,154","15,724","50,644","80,760"
"1,498,808","289,136","272,139","53,505","35,413","26,394","35,691","23,535","43,866","16,821","25,490","31,711","29,584","24,850","24,005","16,786","64,292","87,139"
"1,864,009","391,886","321,201","53,183","36,179","19,960","45,425","19,467","35,897","29,474","33,179","36,874","32,280","38,699","30,121","20,944","65,058","136,013"
"1,895,069","394,661","251,321","54,110","37,031","18,068","55,524","21,145","47,652","26,674","32,929","48,539","43,646","39,175","31,858","28,872","96,510","121,497"
"1,943,625","343,093","262,415","67,349","46,067","27,336","63,847","23,065","47,903","29,860","30,318","39,664","46,712","31,660","27,019","23,965","76,652","146,224"
"2,021,723","341,032","280,051","75,208","46,087","34,035","61,442","19,473","51,836","50,396","28,045","51,701","38,954","43,464","32,906","23,546","75,742","117,150"
"2,403,643","401,789","308,473","87,645","59,483","39,481","54,394","31,116","71,815","43,461","38,348","68,704","65,155","58,165","23,030","36,208","125,673","143,280"
